강의실,요일,시간,합계
제1실습관,화,15,0.0
제1실습관,수,1,85.0
제1실습관,수,2,66.0
제1실습관,수,3,166.0
제1실습관,수,4,98.0
제1실습관,수,5,218.0
제1실습관,수,6,117.0
제1실습관,수,7,183.0
제1실습관,수,8,90.0
제1실습관,수,9,25.0
제1실습관,수,10,80.0
제1실습관,수,11,0.0
제1실습관,수,12,0.0
제1실습관,수,13,0.0
제1실습관,수,14,0.0
제1실습관,수,15,0.0
제1실습관,목,1,111.0
제1실습관,목,2,228.0
제1실습관,목,3,134.0
제1실습관,목,4,232.0
제1실습관,목,5,89.0
제1실습관,목,6,224.0
제1실습관,목,7,66.0
제1실습관,목,8,169.0
제1실습관,목,9,5.0
제1실습관,목,10,80.0
제1실습관,목,11,0.0
제1실습관,목,12,0.0
제1실습관,목,13,0.0
제1실습관,목,14,0.0
제1실습관,목,15,0.0
제1실습관,금,1,114.0
제1실습관,금,2,63.0
제1실습관,금,3,120.0
제1실습관,금,4,57.0
제1실습관,금,5,0.0
제1실습관,금,6,54.0
제1실습관,금,7,0.0
제1실습관,금,8,54.0
제1실습관,금,9,0.0
제1실습관,금,10,0.0
제1실습관,금,11,0.0
제1실습관,금,12,0.0
제1실습관,금,13,0.0
제1실습관,금,14,0.0
제1실습관,금,15,0.0
제1실습관,토,1,0.0
제1실습관,토,2,0.0
제1실습관,토,3,0.0
제1실습관,토,4,0.0
제1실습관,토,5,0.0
제1실습관,토,6,0.0
제1실습관,토,7,0.0
제1실습관,토,8,0.0
제1실습관,토,9,0.0
제1실습관,토,10,0.0
제1실습관,토,11,0.0
제1실습관,토,12,0.0
제1실습관,토,13,0.0
제1실습관,토,14,0.0
제1실습관,토,15,0.0
제1실습관,일,1,0.0
제1실습관,일,2,0.0
제1실습관,일,3,0.0
제1실습관,일,4,0.0
제1실습관,일,5,0.0
제1실습관,일,6,0.0
제1실습관,일,7,0.0
제1실습관,일,8,0.0
제1실습관,일,9,0.0
제1실습관,일,10,0.0
제1실습관,일,11,0.0
제1실습관,일,12,0.0
제1실습관,일,13,0.0
제1실습관,일,14,0.0
제1실습관,일,15,0.0
제2과학관,월,1,36.0
제2과학관,월,2,153.0
제2과학관,월,3,62.0
제2과학관,월,4,127.0
제2과학관,월,5,132.0
제2과학관,월,6,60.0
제2과학관,월,7,131.0
제2과학관,월,8,61.0
